year,day,part,time_ms
2015,1,10,1
2016,1,2,2
2017,1,1,0
2018,1,2,14
2019,1,1,1
2019,2,1,47
2019,3,63,70
2019,4,61,45
2020,1,3,6
2020,2,3,2
2020,3,1,2
2020,4,4,5
2020,5,2,1
2020,6,2,4
2020,7,43,12
2020,8,2,66
2020,9,4,209
2020,10,4,1
2020,11,205,207
2020,12,5,0
2020,13,190,2
2020,14,5,
2021,1,3,2
2021,2,1,1
2021,3,1,1
2021,4,1,2
2021,5,7,5
2021,6,1,0
2021,7,11,276
2021,8,2,7
2021,9,2,25
2021,10,3,4
2021,11,3,3
2021,12,52,953
2021,13,8,7
2021,14,3,4
2021,15,34,1838
2021,16,5,2
2021,17,59,30
2021,18,16,171
2021,20,69,692
2021,21,5,4317
2021,25,1,
2022,1,1,1
2022,2,1,1
2022,3,1,0
2022,4,1,1
2022,5,1,0
2022,6,0,2
2022,7,5,2
2022,8,5,4
2022,9,9,13
2022,10,1,0
2022,11,7,674
2022,12,26,406
2022,13,11,62
2022,14,70,67
2022,15,,
2022,16,4535,
2022,17,757,1313
2022,18,4,
2022,19,1,0
2022,20,32,318
2022,22,23,
2022,23,59,1746
2022,25,2,
2023,1,4,11
2023,2,2,1
2023,3,29,27
2023,4,4,2419
2023,6,4,822
2023,8,5,34
2023,9,4,2
2023,10,27,203
2023,11,70,192
2023,12,15,383
2023,13,3,51
2023,14,4,2005
2023,15,2,4
2023,16,29,5257
2023,18,1215,
2023,19,4,
2023,20,11,
2023,21,593,
2023,23,388,
2023,24,15,
2024,1,2,7
2024,2,4,2
2024,3,9,9
2024,4,27,13
2024,5,5,74
2024,7,70,3201
2024,8,15,5
2024,9,388,617
2024,10,6,3
2024,11,33,59
2024,12,1818,5522
2024,14,8,279
2024,15,39,27
2024,17,1,4
2024,19,53,162
2024,21,,
2024,22,65,9056
2024,23,45,336
2024,24,5,
